Amino_acid_metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	Carbohydrate_metabolism	Inositol_phosphate_metabolism	Lipid_and_fatty_acid_metabolism	Medium	Metabolism_of_cofactors_and_vitamins	Nucleotide_metabolism	Other	Pseudoreaction	Sink	Terpenoid_backbone_biosynthesis	Transport
0	0	0.472155353808796	0	0	0	0	0	0	0	0	0	0
0.485621676196818	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.426830035578447	0	0	0	0	0	0
0.485621676196818	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	NaN	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.485621676196818
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.419119406767992	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0.419119406767982	0	0	0	0	0
0	0	0	0	0	0	NaN	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0	0	0.419119406767985	0	0	0	0	0	0
0	0	0	0	0.419469961431555	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.958716844721542
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	NaN
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.419119406767913	0	0	0	0	0
0	0	0	0	109.544511501033	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	109.544511501027	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	NaN
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.419138810674206	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.419131219535263	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.419119406399648	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0.419119406767978	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.437713867396524	0	0	0	0	0
0	0	0	0	0	0	0	0	0.419119406798253	0	0	0	0
0	0	0	0	0	0	0	0.469838277970066	0	0	0	0	0
0	0	0	0	0	0	0.419119406768033	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.419119406768012
0	0	0	0	0	0	0	0	0	0	0	0	6.29854598732464
0	0	0	0	0.419138810674206	0	0	0	0	0	0	0	0
0	0	0	0	0.419138810674206	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.419119406768033	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1.08903758821341	0	0	0	0	0	0	0	0
0	0	0	0	0.419456074735133	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.237059753820018	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.237316038853916
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0.419119406798253	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	15.3245863474016	0	0	0	0	0	0	0	0
0	0	0	0	0	0	109.544511501059	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.419119406768003	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0.431480693363343	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.430269014465342	0	0	0	0	0	0	0	0
0.419119406798253	0	0	0	0	0	0	0	0	0	0	0	0
0.48562167646517	0	0	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.420185007888105	0	0	0	0	0
0.423842032898981	0	0	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0.485621676045447	0	0	0	0	0	0	0	0	0	0	0	0
0.485621676045447	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.430269014465342	0	0	0	0	0	0	0	0
0.441364404526243	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.419119406768003	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	14.944791638373	0	0	0	0	0	0	0	0	0	0
0	NaN	0	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	0	0	2.98860367125188	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.419119406530681	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	0.419119406659743	0	0	0	0	0	0	0	0
0	0	0	0	2.11231056196325	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	2.61011205410373	0	0	0	0	0	0	0	0
0	0	0	0	0.419119406767973	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.441873922981147
0	0	0	0	0	0	0	0	0	0	0	0	0.441870732967431
0	0	0	0	0	0	0	0	0	0	0	0	0.419119406643185
0	0	0	0	0	0	0.419119406768001	0	0	0	0	0	0
0	0	0	0	0	0	0	0.419119406767993	0	0	0	0	0
0	0	0	0	0	0	0.419119406767967	0	0	0	0	0	0
0	0	0	0	0	0	0.419119406767967	0	0	0	0	0	0
0	0	0	0	0	0	0.419119406768001	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.41911940676804
0	0	0	0	0	0	0	0	0	0	0	0	0.419119406768044
0	0	0	0	0	0	0.419119406767967	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.419119406768019
0	0	0	0	0	0	0	0	0.426414379434762	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.419119406767978
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0	0.419119406480635
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0	0.237077518396546
