r0250_c0_f,s_adenosyl_l_methionine_carboxy_lyase_5_deoxy_5_adenosyl3_aminopropylmethylsulfonium_forming_c0,Amino acid metabolism,0.68270526,0.31400488,0.36495704
r0251_c0,xanthosine_5_phosphate_l_glutamine_amido_ligase_amp_forming_c0,Nucleotide metabolism,0.49410598,0.4956413,0.50170666
r0253_m0_f,atp_n_acetyl_l_glutamate_5_phosphotransferase_m0,Amino acid metabolism,0.55446752,0.63774904,0.64793502
r0254_c0,l_arginine_amidinohydrolase_c0,Amino acid metabolism,0.55895124,0.56401304,0.50384562
r0257_c0_f,atp_l_methionine_s_adenosyltransferase_c0,Amino acid metabolism,0.19831428,0.41654232,0.69895916
r0258_c0,o_phospho_l_serine_phosphohydrolase_c0,Amino acid metabolism,0.5013417,0.52522082,0.52911854
r0261_c0,o4_succinyl_l_homoserine_hydrogen_sulfide_s_3_amino_3_carboxypropyltransferase_c0,Amino acid metabolism,0.52077646,0.5040564,0.48268948
r0262_c0_f,aspartate_semialdehyde_dehydrogenase_c0,Amino acid metabolism,0.08277846,0.34165758,0.73760318
r0263_c0_f,1_5_phospho_d_ribosyl_5_amino_4_imidazolecarboxylate_carboxy_lyase_c0,Nucleotide metabolism,0.18055168,0.48455528,0.80233888
r0264_c0_f,orotidine_5_phosphate_diphosphate_phospho_alpha_d_ribosyl_transferase_c0,Nucleotide metabolism,0.24504804,0.57222756,0.8102588
r0265_c0_f,3_phospho_d_glycerate_nad_plus_2_oxidoreductase_c0,Amino acid metabolism,0.5999157,0.69030504,0.73002576
r0268_c0,d_fructose_1_6_bisphosphate_1_phosphohydrolase_c0,Carbohydrate metabolism,0.54922604,0.58706508,0.49339506
r0269_c0_f,10_formyltetrahydrofolate_5_phosphoribosyl_5_amino_4_imidazolecarboxamide_formyltransferase_c0,Nucleotide metabolism,0.07346594,0.47512926,0.94215658
r0270_c0,homogentisate_oxygen_1_2_oxidoreductase_decyclizing_c0,Amino acid metabolism,0.4930548,0.50553648,0.51585886
r0271_c0_f,atp_acetate_phosphotransferase_c0,Carbohydrate metabolism,0.04569474,0.31400488,0.36495704
r0273_m0,diphosphate_phosphohydrolase_m0,Other,0.5493425,0.5773933,0.43060562
