rxns	kcats	EC_Numbers
r_0471	53.33;53.33	EC1.4.1.4;EC1.4.1.4
r_0472	70	EC1.4.1.14
r_0473	88.83	EC1.2.1.41
r_0475	6249;6249	EC4.3.3.6 EC3.5.1.2;EC4.3.3.6 EC3.5.1.2
r_0476	52.7	EC6.3.1.2
r_0477	35.5;35.5	EC2.6.1.16;EC2.6.1.16
r_0478	3.2	EC6.1.1.18
r_0479	1.39	EC6.1.1.17
r_0480	1.39	EC6.1.1.17
r_0481	900;900;900;900	EC1.8.1.7;EC1.8.1.7;EC1.8.1.7;EC1.8.1.7
r_0482	900	EC1.8.1.7
r_0483	670;670;957;957;957;670	EC1.8.4.- EC1.11.1.9;EC1.11.1.9;EC1.8.4.- EC1.11.1.9 EC1.11.1.9 EC1.11.1.15 EC1.11.1.9;EC1.8.4.- EC1.11.1.9 EC1.11.1.9 EC1.11.1.15 EC1.11.1.9;EC1.11.1.15;EC1.11.1.9
r_0484		
r_0485	13	EC6.3.2.3
r_0486	29;29;29	EC1.2.1.12;EC1.2.1.12;EC1.2.1.12
r_0487	14.915	EC1.1.1.156
r_0488	1670	EC2.7.1.30
r_0489	833;833	EC3.1.3.21;EC3.1.3.21
r_0490	33.3	EC1.1.5.3
r_0491	390;390	EC1.1.1.8;EC1.1.1.8
r_0492	390	EC1.1.1.8
r_0497	3.3	EC3.1.4.46
r_0499	7.5	EC2.1.2.2
r_0500		
r_0501	1643.85	EC2.1.2.10 EC1.8.1.4 EC1.4.4.2
r_0502	15	EC2.1.2.1
r_0503	15	EC2.1.2.1
r_0504	649	EC2.1.2.10 EC1.8.1.4 EC1.4.4.2
r_0505	899;899	EC2.1.2.10 EC1.8.1.4 EC1.4.4.2;EC2.3.1.61 EC1.8.1.4 EC1.2.4.2
r_0506	1643.85	EC2.1.2.10 EC1.8.1.4 EC1.4.4.2
r_0507	1643.85	EC2.1.2.10 EC1.8.1.4 EC1.4.4.2
r_0508	1643.85	EC2.1.2.10 EC1.8.1.4 EC1.4.4.2
r_0509	1643.85	EC2.1.2.10 EC1.8.1.4 EC1.4.4.2
r_0510	452.5;452.5;452.5;452.5	EC2.4.1.11 EC2.4.1.186;EC2.4.1.11 EC2.4.1.186;EC2.4.1.186 EC2.4.1.11;EC2.4.1.186 EC2.4.1.11
r_0511	50.5	EC2.4.1.1
r_0512	0.73;0.73	EC6.1.1.14;EC6.1.1.14
r_0514	0.43	EC6.3.5.2
r_0518	161	EC3.5.1.89
r_0519	70.9	EC2.4.1.-
r_0520	987	EC2.-.-.-
r_0521	70.9	EC2.4.1.-
r_0522	70.9	EC2.4.1.-
r_0523	987;987	EC2.-.-.-;EC2.-.-.-
r_0524	0.039	EC3.5.4.16
r_0525	432	EC3.5.4.25
r_0526	649	EC3.5.4.3
r_0527	76.7	EC2.4.2.8
