S_cerevisiae	R_toruloides	P_chrysogenum	L_kluyveri	A_terreus	A_oryzae	A_niger	A_nidulans	M_alpina	E_gossypii	K_lactis	Y_lipolytica	K_phaffii	N_crassa
2.7.7.18	3.1.2.4	2.7.7.4		2.7.7.10	2.7.1.86	2.7.2.8	4.1.1.11	2.7.7.12		2.7.1.49	3.5.99.6	3.2.1.33	3.5.3.1
2.7.7.2	3.1.2.6	2.7.7.41		2.7.7.12	2.7.1.89	2.7.4.11	4.1.1.15	2.7.7.13		2.7.1.50	3.6.1.1	3.2.1.58	3.5.3.11
2.7.7.23	3.1.3.1	2.7.7.5		2.7.7.13	2.7.1.91	2.7.4.14	4.1.1.17	2.7.7.14		2.7.1.56	3.6.1.13	3.2.1.84	3.5.3.19
2.7.7.3	3.1.3.11	2.7.7.9		2.7.7.14	2.7.2.1	2.7.4.2	4.1.1.2	2.7.7.15		2.7.1.6	3.6.1.19	3.3.1.1	3.5.3.4
2.7.7.4	3.1.3.12	2.7.8.11		2.7.7.15	2.7.2.11	2.7.4.3	4.1.1.21	2.7.7.2		2.7.1.67	3.6.1.22	3.5.1.1	3.5.4.1
2.7.7.41	3.1.3.15	2.7.8.5		2.7.7.2	2.7.2.3	2.7.4.6	4.1.1.23	2.7.7.23		2.7.1.68	3.6.1.23	3.5.1.19	3.5.4.10
2.7.7.5	3.1.3.2	2.7.8.8		2.7.7.23	2.7.2.4	2.7.4.7	4.1.1.32	2.7.7.3		2.7.1.7	3.6.1.31	3.5.1.23	3.5.4.12
2.7.7.53	3.1.3.21	2.8.1.6		2.7.7.3	2.7.2.8	2.7.4.8	4.1.1.33	2.7.7.30		2.7.1.71	3.6.1.43	3.5.1.4	3.5.4.13
2.7.7.87	3.1.3.25	2.8.1.7		2.7.7.4	2.7.4.1	2.7.4.9	4.1.1.36	2.7.7.4		2.7.1.74	3.6.1.5	3.5.1.41	3.5.4.16
2.7.7.9	3.1.3.3	2.8.2.6		2.7.7.41	2.7.4.11	2.7.6.1	4.1.1.43	2.7.7.41		2.7.1.8	3.6.3.6	3.5.1.54	3.5.4.19
2.7.8.1	3.1.3.37	2.8.3.5		2.7.7.9	2.7.4.14	2.7.6.2	4.1.1.45	2.7.7.53		2.7.1.82	3.7.1.3	3.5.2.3	3.5.4.2
2.7.8.11	3.1.3.41	3.1.1.13		2.7.8.1	2.7.4.16	2.7.6.3	4.1.1.48	2.7.7.63		2.7.1.86	4.1.1.1	3.5.2.5	3.5.4.25
2.7.8.15	3.1.3.46	3.1.1.17		2.7.8.11	2.7.4.2	2.7.7.1	4.1.1.49	2.7.7.9		2.7.1.91	4.1.1.15	3.5.3.1	3.5.4.26
2.7.8.2	3.1.3.54	3.1.1.23		2.7.8.2	2.7.4.22	2.7.7.10	4.1.1.50	2.7.8.1		2.7.2.11	4.1.1.17	3.5.3.4	3.5.4.3
2.7.8.41	3.1.3.7	3.1.1.25		2.7.8.5	2.7.4.3	2.7.7.12	4.1.1.65	2.7.8.11		2.7.2.3	4.1.1.21	3.5.4.1	3.5.4.4
2.7.8.5	3.1.3.77	3.1.1.3		2.7.8.8	2.7.4.6	2.7.7.13	4.1.2.13	2.7.8.15		2.7.2.4	4.1.1.23	3.5.4.10	3.5.4.6
2.7.8.7	3.1.4.17	3.1.1.31		2.7.9.2	2.7.4.7	2.7.7.14	4.1.2.25	2.7.8.2		2.7.2.8	4.1.1.33	3.5.4.12	3.5.4.8
2.7.8.8	3.1.4.53	3.1.1.4		2.8.1.1	2.7.4.8	2.7.7.15	4.1.2.5	2.7.8.27		2.7.4.1	4.1.1.35	3.5.4.16	3.5.4.9
2.8.1.1	3.1.7.6	3.1.1.5		2.8.1.2	2.7.4.9	2.7.7.2	4.1.2.9	2.7.8.29		2.7.4.11	4.1.1.36	3.5.4.19	3.5.99.6
2.8.1.6	3.2.1.10	3.1.2.1		2.8.1.6	2.7.6.1	2.7.7.23	4.1.3.1	2.7.8.5		2.7.4.12	4.1.1.37	3.5.4.25	3.6.1.1
2.8.1.7	3.2.1.113	3.1.2.12		2.8.3.5	2.7.6.2	2.7.7.3	4.1.3.12	2.7.8.7		2.7.4.14	4.1.1.48	3.5.4.3	3.6.1.13
2.8.1.8	3.2.1.15	3.1.2.14		2.8.3.6	2.7.6.3	2.7.7.4	4.1.3.18	2.7.8.8		2.7.4.15	4.1.1.49	3.5.4.5	3.6.1.15
3.1.1.13	3.2.1.20	3.1.2.4		3.1.1.13	2.7.6.5	2.7.7.41	4.1.3.2	2.7.9.2		2.7.4.2	4.1.1.50	3.5.4.6	3.6.1.22
3.1.1.2	3.2.1.21	3.1.2.6		3.1.1.17	2.7.7.1	2.7.7.6	4.1.3.27	2.8.1.1		2.7.4.22	4.1.1.65	3.5.4.9	3.6.1.23
3.1.1.23	3.2.1.24	3.1.3.1		3.1.1.23	2.7.7.10	2.7.7.7	4.1.3.31	2.8.1.2		2.7.4.3	4.1.2.13	3.5.5.1	3.6.1.31
3.1.1.3	3.2.1.26	3.1.3.11		3.1.1.3	2.7.7.12	2.7.7.8	4.1.3.5	2.8.1.6		2.7.4.4	4.1.2.25	3.6.1.1	3.6.1.42
3.1.1.31	3.2.1.28	3.1.3.12		3.1.1.31	2.7.7.13	2.7.7.9	4.1.3.7	2.8.1.7		2.7.4.6	4.1.2.27	3.6.1.10	3.6.1.6
3.1.1.5	3.2.1.33	3.1.3.15		3.1.1.32	2.7.7.14	2.7.8.1	4.1.3.8	2.8.1.8		2.7.4.7	4.1.2.5	3.6.1.23	3.6.3.14
3.1.1.96	3.2.1.58	3.1.3.2		3.1.1.4	2.7.7.15	2.7.8.11	4.2.1.10	2.8.3.5		2.7.4.8	4.1.3.1	3.6.1.29	3.6.3.27
3.1.2.1	3.2.1.6	3.1.3.21		3.1.1.5	2.7.7.2	2.7.8.2	4.2.1.11	3.1.1.13		2.7.4.9	4.1.3.27	3.6.1.31	3.6.3.6
3.1.2.12	3.2.1.84	3.1.3.22		3.1.1.7	2.7.7.22	2.7.8.5	4.2.1.13	3.1.1.2		2.7.6.1	4.1.3.38	3.6.1.43	3.6.4.4
3.1.2.2	3.2.2.3	3.1.3.25		3.1.1.8	2.7.7.23	2.7.8.8	4.2.1.16	3.1.1.23		2.7.6.2	4.1.3.4	3.6.1.5	3.7.1.2
3.1.2.4	3.3.1.1	3.1.3.27		3.1.2.1	2.7.7.3	2.8.1.6	4.2.1.17	3.1.1.3		2.7.6.3	4.1.99.12	3.6.1.52	3.7.1.3
3.1.2.6	3.3.2.6	3.1.3.3		3.1.2.12	2.7.7.4	2.8.2.6	4.2.1.19	3.1.1.31		2.7.7.1	4.2.1.1	3.6.1.6	3.8.1.2
3.1.3.1	3.4.11.18	3.1.3.4		3.1.2.14	2.7.7.41	2.8.3.5	4.2.1.2	3.1.1.4		2.7.7.12	4.2.1.10	3.6.3.14	4.1.1.1
3.1.3.11	3.4.11.22	3.1.3.46		3.1.2.2	2.7.7.5	2.8.3.6	4.2.1.20	3.1.1.45		2.7.7.13	4.2.1.109	3.6.3.16	4.1.1.15
3.1.3.12	3.4.19.13	3.1.3.5		3.1.2.4	2.7.7.9	3.1.1.11	4.2.1.22	3.1.1.5		2.7.7.14	4.2.1.11	3.6.3.6	4.1.1.17
3.1.3.15	3.5.1.1	3.1.3.7		3.1.2.6	2.7.8.1	3.1.1.13	4.2.1.3	3.1.1.7		2.7.7.15	4.2.1.17	3.7.1.3	4.1.1.21
3.1.3.18	3.5.1.19	3.1.3.74		3.1.3.1	2.7.8.11	3.1.1.17	4.2.1.33	3.1.1.78		2.7.7.18	4.2.1.19	4.1.1.1	4.1.1.23
3.1.3.19	3.5.1.2	3.1.3.77		3.1.3.11	2.7.8.2	3.1.1.20	4.2.1.36	3.1.2.12		2.7.7.2	4.2.1.2	4.1.1.15	4.1.1.31
3.1.3.2	3.5.1.3	3.1.3.8		3.1.3.12	2.7.8.5	3.1.1.23	4.2.1.51	3.1.2.14		2.7.7.23	4.2.1.20	4.1.1.17	4.1.1.33
3.1.3.21	3.5.1.41	3.1.4.17		3.1.3.15	2.7.8.7	3.1.1.24	4.2.1.6	3.1.2.22		2.7.7.3	4.2.1.22	4.1.1.21	4.1.1.36
3.1.3.25	3.5.1.54	3.1.4.2		3.1.3.18	2.7.8.8	3.1.1.25	4.2.1.61	3.1.2.27		2.7.7.4	4.2.1.24	4.1.1.23	4.1.1.37
3.1.3.27	3.5.1.89	3.1.4.3		3.1.3.2	2.8.1.6	3.1.1.3	4.2.1.70	3.1.2.4		2.7.7.41	4.2.1.3	4.1.1.33	4.1.1.45
3.1.3.29	3.5.2.3	3.1.4.46		3.1.3.21	2.8.1.7	3.1.1.31	4.2.1.79	3.1.2.6		2.7.7.53	4.2.1.33	4.1.1.36	4.1.1.48
3.1.3.3	3.5.2.5	3.1.6.6		3.1.3.22	2.8.3.5	3.1.1.4	4.2.1.9	3.1.3.1		2.7.7.9	4.2.1.36	4.1.1.37	4.1.1.49
3.1.3.34	3.5.2.9	3.2.1.1		3.1.3.25	2.9.1.1	3.1.1.46	4.2.99.10	3.1.3.11		2.7.8.1	4.2.1.51	4.1.1.48	4.1.1.50
3.1.3.36	3.5.3.1	3.2.1.113		3.1.3.27	3.1.1.13	3.1.1.5	4.2.99.2	3.1.3.12		2.7.8.11	4.2.1.75	4.1.1.49	4.1.1.70
3.1.3.37	3.5.3.4	3.2.1.132		3.1.3.3	3.1.1.17	3.1.1.65	4.2.99.9	3.1.3.15		2.7.8.15	4.2.1.9	4.1.1.50	4.1.1.74
3.1.3.4	3.5.4.1	3.2.1.14		3.1.3.4	3.1.1.23	3.1.2.1	4.3.2.1	3.1.3.2		2.7.8.2	4.2.3.1	4.1.1.65	4.1.2.13
3.1.3.41	3.5.4.10	3.2.1.20		3.1.3.46	3.1.1.25	3.1.2.12	4.3.2.2	3.1.3.21		2.7.8.5	4.2.3.4	4.1.2.13	4.1.2.25
3.1.3.46	3.5.4.12	3.2.1.21		3.1.3.5	3.1.1.3	3.1.2.14	4.4.1.1	3.1.3.25		2.7.8.7	4.2.3.5	4.1.2.25	4.1.2.27
3.1.3.54	3.5.4.16	3.2.1.22		3.1.3.56	3.1.1.31	3.1.2.4	4.4.1.5	3.1.3.27		2.7.8.8	4.3.1.17	4.1.2.27	4.1.2.4
3.1.3.6	3.5.4.19	3.2.1.23		3.1.3.7	3.1.1.32	3.1.2.6	4.4.1.8	3.1.3.3		2.8.1.7	4.3.1.19	4.1.2.5	4.1.2.5
3.1.3.64	3.5.4.2	3.2.1.25		3.1.3.8	3.1.1.4	3.1.3.1	4.6.1.1	3.1.3.4		2.8.1.8	4.3.2.1	4.1.2.53	4.1.2.9
3.1.3.68	3.5.4.25	3.2.1.26		3.1.4.11	3.1.1.5	3.1.3.11	4.6.1.3	3.1.3.41		3.1.1.13	4.3.2.2	4.1.3.1	4.1.3.1
